mappability	category	ingredient	cas_rn	resolution_strategy	reasoning	pubchem_url
RESOLVED	complex_biological	Pancreatic digest of casein	91079-46-8	original		https://pubchem.ncbi.nlm.nih.gov/#query=Pancreatic%20digest%20of%20casein
RESOLVED	gases	#Ar	7440-37-1	gas_notation_normalized		https://pubchem.ncbi.nlm.nih.gov/#query=argon
RESOLVED	gases	#N2	7727-37-9	gas_notation_normalized		https://pubchem.ncbi.nlm.nih.gov/#query=nitrogen
RESOLVED	gases	#N2O	10024-97-2	gas_notation_normalized		https://pubchem.ncbi.nlm.nih.gov/#query=nitrous%20oxide
RESOLVED	gases	#argon	7440-37-1	gas_notation_normalized		https://pubchem.ncbi.nlm.nih.gov/#query=argon
RESOLVED	hydrated_salts_variants	Calcium Chloride Dihydrate	10035-04-8	original		https://pubchem.ncbi.nlm.nih.gov/#query=Calcium%20Chloride%20Dihydrate
RESOLVED	hydrated_salts_variants	L-Aspartic Acid sodium salt monohydrate	323194-76-9	original		https://pubchem.ncbi.nlm.nih.gov/#query=L-Aspartic%20Acid%20sodium%20salt%20monohydrate
RESOLVED	hydrated_salts_variants	aluminum chloride hydrate	682-753-0	original		https://pubchem.ncbi.nlm.nih.gov/#query=aluminum%20chloride%20hydrate
RESOLVED	hydrated_salts_variants	copper sulfate pentahydrate	7758-99-8	original		https://pubchem.ncbi.nlm.nih.gov/#query=copper%20sulfate%20pentahydrate
RESOLVED	hydrated_salts_variants	magnesium chloride hexahydrate	616-575-1	original		https://pubchem.ncbi.nlm.nih.gov/#query=magnesium%20chloride%20hexahydrate
RESOLVED	hydrated_salts_variants	magnesium sulfate heptahydrate	10034-99-8	original		https://pubchem.ncbi.nlm.nih.gov/#query=magnesium%20sulfate%20heptahydrate
RESOLVED	hydrated_salts_variants	manganese(II) chloride tetrahydrate	603-826-5	original		https://pubchem.ncbi.nlm.nih.gov/#query=manganese%28II%29%20chloride%20tetrahydrate
RESOLVED	hydrated_salts_variants	sodium citrate dihydrate	6132-04-3	original		https://pubchem.ncbi.nlm.nih.gov/#query=sodium%20citrate%20dihydrate
RESOLVED	hydrated_salts_variants	sodium molybdate dihydrate	10102-40-6	original		https://pubchem.ncbi.nlm.nih.gov/#query=sodium%20molybdate%20dihydrate
RESOLVED	hydrated_salts_variants	sodium tungstate dihydrate	10213-10-2	original		https://pubchem.ncbi.nlm.nih.gov/#query=sodium%20tungstate%20dihydrate
