priority	category	preferred_term	ontology_id	ontology_label	ontology_source	mapping_status	has_chebi_id	synonym_count	synonyms	filename	file_path
HIGH	Hydrated Salts (x notation)	(NH4)2Ni(SO4)2 x 6 H2O	CHEBI:86149	(NH4)2Ni(SO4)2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Nh42ni_So42_X_6_H2o.yaml	data/ingredients/mapped/Nh42ni_So42_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	Al2(SO4)3 x 18 H2O	CHEBI:74779	Al2(SO4)3 x 18 H2O	CHEBI	MAPPED	True	0		Al2_So43_X_18_H2o.yaml	data/ingredients/mapped/Al2_So43_X_18_H2o.yaml
HIGH	Hydrated Salts (x notation)	AlCl3 x 6 H2O	CHEBI:30115	AlCl3 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Alcl3_X_6_H2o.yaml	data/ingredients/mapped/Alcl3_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	AlK(SO4)2 x 12 H2O	CHEBI:86465	AlK(SO4)2 x 12 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Alk_So42_X_12_H2o.yaml	data/ingredients/mapped/Alk_So42_X_12_H2o.yaml
HIGH	Hydrated Salts (x notation)	BaCl2 x 2 H2O	CHEBI:86153	BaCl2 x 2 H2O	CHEBI	MAPPED	True	0		Bacl2_X_2_H2o.yaml	data/ingredients/mapped/Bacl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	Ca(NO3)2 x 4 H2O	CHEBI:86159	Ca(NO3)2 x 4 H2O	CHEBI	MAPPED	True	0		Ca_No32_X_4_H2o.yaml	data/ingredients/mapped/Ca_No32_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 2 H2O	CHEBI:86158	CaCl2 x 2 H2O	CHEBI	MAPPED	True	5	Role: Mineral source; Properties: Defined component, Inorganic compound, Simple component|Role: Mineral source; Properties: Defined component, Simple component, Inorganic compound|Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_2_H2o.yaml	data/ingredients/mapped/Cacl2_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 6 H2O	CHEBI:91243	CaCl2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_6_H2o.yaml	data/ingredients/mapped/Cacl2_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x 7 H2O	CHEBI:3312	CaCl2 x 7 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Cacl2_X_7_H2o.yaml	data/ingredients/mapped/Cacl2_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaCl2 x H2O	CHEBI:3312	CaCl2 x H2O	CHEBI	MAPPED	True	0		Cacl2_X_H2o.yaml	data/ingredients/mapped/Cacl2_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaSO4 x 2 H2O	CHEBI:32583	CaSO4 x 2 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Caso4_X_2_H2o.yaml	data/ingredients/mapped/Caso4_X_2_H2o.yaml
HIGH	Hydrated Salts (x notation)	CaSO4 x 7 H2O	CHEBI:31346	CaSO4 x 7 H2O	CHEBI	MAPPED	True	0		Caso4_X_7_H2o.yaml	data/ingredients/mapped/Caso4_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Cd(NO3)2 x 4 H2O	CHEBI:86156	Cd(NO3)2 x 4 H2O	CHEBI	MAPPED	True	0		Cd_No32_X_4_H2o.yaml	data/ingredients/mapped/Cd_No32_X_4_H2o.yaml
HIGH	Hydrated Salts (x notation)	CeCl3 x 7 H2O	CHEBI:35458	CeCl3 x 7 H2O	CHEBI	MAPPED	True	0		Cecl3_X_7_H2o.yaml	data/ingredients/mapped/Cecl3_X_7_H2o.yaml
HIGH	Hydrated Salts (x notation)	Citric acid x H2O	CHEBI:31404	Citric acid x H2O	CHEBI	MAPPED	True	0		Citric_Acid_X_H2o.yaml	data/ingredients/mapped/Citric_Acid_X_H2o.yaml
HIGH	Hydrated Salts (x notation)	Co(NO3)2 x 6 H2O	CHEBI:86214	Co(NO3)2 x 6 H2O	CHEBI	MAPPED	True	1	Role: Mineral source; Properties: Inorganic compound, Defined component, Simple component	Co_No32_X_6_H2o.yaml	data/ingredients/mapped/Co_No32_X_6_H2o.yaml
HIGH	Hydrated Salts (x notation)	CoCl2 x 2 H2O	CHEBI:35696	CoCl2 x 2 H2O	CHEBI	MAPPED	True	0		Cocl2_X_2_H2o.yaml	data/ingredients/mapped/Cocl2_X_2_H2o.yaml
